Filename,Sample in file (P-arrival),3-D Event distance from well (km),Local Magnitude,type
FORGE_78-32_iDASv3-P11_UTC190423150554.sgy,24169,3.636075,-0.578235,EQ
FORGE_78-32_iDASv3-P11_UTC190423182409.sgy,4210,4.14139,0.430612,EQ
FORGE_78-32_iDASv3-P11_UTC190423213209.sgy,1484,3.394402,0.910045,EQ
FORGE_78-32_iDASv3-P11_UTC190425042124.sgy,5559,2.12379,-1.238558,EQ
FORGE_78-32_iDASv3-P11_UTC190425062324.sgy,10103,10.567685,0.481657,EQ
FORGE_78-32_iDASv3-P11_UTC190426055953.sgy,5327,3.617766,-0.806659,EQ
FORGE_78-32_iDASv3-P11_UTC190426061538.sgy,8257,3.471298,-0.74033,EQ
FORGE_78-32_iDASv3-P11_UTC190426061538.sgy,23643,3.610443,-0.518243,EQ
FORGE_78-32_iDASv3-P11_UTC190426062038.sgy,431,3.343138,-0.778881,EQ
FORGE_78-32_iDASv3-P11_UTC190426062208.sgy,26090,3.573826,-0.077639,EQ
FORGE_78-32_iDASv3-P11_UTC190426062553.sgy,8934,3.614104,-0.815482,EQ
FORGE_78-32_iDASv3-P11_UTC190426062938.sgy,16500,3.628751,-0.812268,EQ
FORGE_78-32_iDASv3-P11_UTC190426063008.sgy,3453,3.577487,-0.326569,EQ
FORGE_78-32_iDASv3-P11_UTC190426063008.sgy,28968,3.32483,0.167063,EQ
FORGE_78-32_iDASv3-P11_UTC190426064623.sgy,23383,3.6873,-0.666822,EQ
FORGE_78-32_iDASv3-P11_UTC190426064823.sgy,28201,3.764234,-0.610409,EQ
FORGE_78-32_iDASv3-P11_UTC190426064838.sgy,-1802,3.775219,-0.419802,EQ
FORGE_78-32_iDASv3-P11_UTC190426064853.sgy,18711,3.416372,-0.031106,EQ
FORGE_78-32_iDASv3-P11_UTC190426065238.sgy,17677,3.32483,-0.63422,EQ
FORGE_78-32_iDASv3-P11_UTC190426070723.sgy,24811,3.427357,-0.060838,EQ
FORGE_78-32_iDASv3-P11_UTC190426070753.sgy,6019,3.39074,-0.840097,EQ
FORGE_78-32_iDASv3-P11_UTC190426080738.sgy,16106,3.533547,-0.957233,EQ
FORGE_78-32_iDASv3-P11_UTC190426104023.sgy,18153,2.563195,-0.453452,EQ
FORGE_78-32_iDASv3-P11_UTC190426104923.sgy,5413,3.537209,-0.065126,EQ
FORGE_78-32_iDASv3-P11_UTC190426110008.sgy,4921,2.515592,-1.054935,EQ
FORGE_78-32_iDASv3-P11_UTC190426121338.sgy,25266,2.731633,-0.912832,EQ
FORGE_78-32_iDASv3-P11_UTC190427210753.sgy,28835,3.632413,-0.571079,EQ
FORGE_78-32_iDASv3-P11_UTC190427210808.sgy,20140,3.691,-0.675742,EQ
FORGE_78-32_iDASv3-P11_UTC190427210823.sgy,17757,3.548194,-0.597071,EQ
FORGE_78-32_iDASv3-P11_UTC190427211323.sgy,797,3.467636,-0.00587,EQ
FORGE_78-32_iDASv3-P11_UTC190427213038.sgy,2313,3.504253,-0.803632,EQ
FORGE_78-32_iDASv3-P11_UTC190428002008.sgy,26678,3.570164,-0.196964,EQ
FORGE_78-32_iDASv3-P11_UTC190428002253.sgy,25362,3.548194,-0.929971,EQ
FORGE_78-32_iDASv3-P11_UTC190428053023.sgy,27731,3.149068,-0.579472,EQ
FORGE_78-32_iDASv3-P11_UTC190428070223.sgy,-4527,8.590364,1.096625,EQ
FORGE_78-32_iDASv3-P11_UTC190428070308.sgy,19576,8.619657,1.649465,EQ
FORGE_78-32_iDASv3-P11_UTC190428072308.sgy,8695,3.423696,-0.157045,EQ
FORGE_78-32_iDASv3-P11_UTC190428072308.sgy,20095,3.405387,-0.112978,EQ
FORGE_78-32_iDASv3-P11_UTC190428074838.sgy,27594,3.698324,-0.365719,EQ
FORGE_78-32_iDASv3-P11_UTC190428075023.sgy,3322,3.54087,-0.381308,EQ
FORGE_78-32_iDASv3-P11_UTC190428075423.sgy,2273,3.515238,-0.505978,EQ
FORGE_78-32_iDASv3-P11_UTC190428083808.sgy,1439,8.751479,0.921501,EQ
FORGE_78-32_iDASv3-P11_UTC190428101138.sgy,14535,8.923579,1.022672,EQ
FORGE_78-32_iDASv3-P11_UTC190428175708.sgy,12364,3.379755,-0.087871,EQ
FORGE_78-32_iDASv3-P11_UTC190428175753.sgy,14302,3.409049,-0.241988,EQ
FORGE_78-32_iDASv3-P11_UTC190428175808.sgy,26750,3.361447,-0.207142,EQ
FORGE_78-32_iDASv3-P11_UTC190428180038.sgy,29515,3.427357,1.071424,EQ
FORGE_78-32_iDASv3-P11_UTC190428181038.sgy,2175,3.361447,-0.702937,EQ
FORGE_78-32_iDASv3-P11_UTC190429072123.sgy,21790,3.398064,-0.740614,EQ
FORGE_78-32_iDASv3-P11_UTC190429082353.sgy,11113,3.431019,-0.546561,EQ
FORGE_78-32_iDASv3-P11_UTC190429111653.sgy,8069,3.354123,-0.775947,EQ
FORGE_78-32_iDASv3-P11_UTC190429111708.sgy,-521,3.3468,-0.653689,EQ
FORGE_78-32_iDASv3-P11_UTC190429141823.sgy,4137,3.939996,-0.613997,EQ
FORGE_78-32_iDASv3-P11_UTC190429233623.sgy,14137,3.152729,-0.626888,EQ
FORGE_78-32_iDASv3-P11_UTC190430113008.sgy,19458,10.567685,0.307923,EQ
FORGE_78-32_iDASv3-P11_UTC190430152053.sgy,2728,10.725139,0.515584,EQ
FORGE_78-32_iDASv3-P11_UTC190430220338.sgy,3786,3.64706,-0.621208,EQ
FORGE_78-32_iDASv3-P11_UTC190430222138.sgy,6817,6.28715,0.149593,EQ
FORGE_78-32_iDASv3-P11_UTC190430222138.sgy,6796,6.444604,-0.148162,EQ
FORGE_78-32_iDASv3-P11_UTC190430222708.sgy,19152,3.734941,-0.637395,EQ
FORGE_78-32_iDASv3-P11_UTC190430225308.sgy,9073,3.665368,-0.849446,EQ
FORGE_78-32_iDASv3-P11_UTC190430231438.sgy,15440,3.66903,0.090937,EQ
FORGE_78-32_iDASv3-P11_UTC190501034338.sgy,14270,10.717815,0.204153,EQ
FORGE_78-32_iDASv3-P11_UTC190501182638.sgy,15017,9.817035,0.631172,EQ
FORGE_78-32_iDASv3-P11_UTC190501220438.sgy,20229,8.513468,0.115585,EQ
FORGE_78-32_iDASv3-P11_UTC190502002838.sgy,6676,3.961967,-0.088337,EQ
FORGE_78-32_iDASv3-P11_UTC190502020423.sgy,17383,4.646706,-0.298953,EQ
FORGE_78-32_iDASv3-P11_UTC190502024438.sgy,15739,3.698324,0.065032,EQ
FORGE_78-32_iDASv3-P11_UTC190502033923.sgy,-616,9.93421,0.553411,EQ
FORGE_78-32_iDASv3-P11_UTC190502041338.sgy,25295,8.777111,0.640701,EQ
FORGE_78-32_iDASv3-P11_UTC190502145523.sgy,23188,3.482283,0.03475,EQ
FORGE_78-32_iDASv3-P11_UTC190502145753.sgy,-200,3.698324,-0.050531,EQ
FORGE_78-32_iDASv3-P11_UTC190502145753.sgy,16543,3.650721,-0.542128,EQ
FORGE_78-32_iDASv3-P11_UTC190502145853.sgy,25634,3.449328,0.101105,EQ
FORGE_78-32_iDASv3-P11_UTC190502150323.sgy,12941,3.449328,0.556644,EQ
FORGE_78-32_iDASv3-P11_UTC190503035008.sgy,25859,3.277227,-0.691156,EQ
FORGE_78-32_iDASv3-P11_UTC190503045723.sgy,6308,3.47496,-0.301591,EQ
FORGE_78-32_iDASv3-P11_UTC190424205909.sgy,5507,3.4339,-0.464917,EQ
FORGE_78-32_iDASv3-P11_UTC190426062438.sgy,5217,3.5181,-1.155608,EQ
FORGE_78-32_iDASv3-P11_UTC190428175823.sgy,22597,3.1667,-0.607334,EQ
FORGE_78-32_iDASv3-P11_UTC190428175908.sgy,27093,3.185,-0.670027,EQ
FORGE_78-32_iDASv3-P11_UTC190428180508.sgy,7361,3.6133,-0.856649,EQ
FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,13313,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,5565,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172223.sgy,24936,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,9590,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172538.sgy,27751,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172623.sgy,10515,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172738.sgy,17228,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172838.sgy,12466,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172838.sgy,15565,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427172938.sgy,15307,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173023.sgy,15837,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173323.sgy,16209,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173323.sgy,18424,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173323.sgy,24593,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173438.sgy,8642,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173508.sgy,21995,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173653.sgy,17776,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173708.sgy,27319,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173738.sgy,20982,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173853.sgy,20818,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173908.sgy,28382,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427173953.sgy,10754,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174023.sgy,15007,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174108.sgy,17940,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174308.sgy,15850,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174508.sgy,4828,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174538.sgy,10497,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174608.sgy,21612,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174753.sgy,24862,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427174923.sgy,26701,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175023.sgy,25827,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175038.sgy,10354,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175108.sgy,19015,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175108.sgy,24277,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175123.sgy,15369,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175438.sgy,24124,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175823.sgy,8830,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175953.sgy,8992,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427175953.sgy,16217,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180023.sgy,10206,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180053.sgy,3939,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180423.sgy,28392,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180453.sgy,18240,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180538.sgy,21574,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180553.sgy,23747,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180708.sgy,15103,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427180953.sgy,18139,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427181008.sgy,28925,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427182223.sgy,24394,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427182638.sgy,17979,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427182753.sgy,28096,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427191823.sgy,8847,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427194323.sgy,29339,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427194723.sgy,4728,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427194908.sgy,26711,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427194938.sgy,29993,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427194953.sgy,289,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427195008.sgy,2546,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427195323.sgy,29806,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427195423.sgy,15195,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427195753.sgy,17060,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427195823.sgy,1998,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427200308.sgy,20287,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427200508.sgy,4025,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427200638.sgy,29686,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427200653.sgy,29,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427200953.sgy,29319,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427201008.sgy,250,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427201723.sgy,28525,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427202053.sgy,9241,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427203253.sgy,14025,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427203938.sgy,23098,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427204208.sgy,11380,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427213008.sgy,6480,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427213423.sgy,27363,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427215908.sgy,17018,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427222823.sgy,24625,,,Micro
FORGE_78-32_iDASv3-P11_UTC190427235053.sgy,8877,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428021238.sgy,22972,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428151938.sgy,20104,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152053.sgy,8749,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152553.sgy,10094,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152608.sgy,732,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152623.sgy,29418,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152653.sgy,16420,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152738.sgy,9620,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152808.sgy,22816,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152838.sgy,21767,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152938.sgy,11839,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428152953.sgy,7230,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153038.sgy,228,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153038.sgy,11194,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153123.sgy,18487,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153153.sgy,9614,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153153.sgy,16314,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153208.sgy,12491,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153338.sgy,27143,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153653.sgy,22249,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153753.sgy,19612,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428153908.sgy,28981,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428154038.sgy,18680,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428154223.sgy,23212,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428154253.sgy,13421,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428154338.sgy,25108,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428154408.sgy,25432,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428155638.sgy,13729,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428161138.sgy,22749,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428161238.sgy,888,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428162223.sgy,27525,,,Micro
FORGE_78-32_iDASv3-P11_UTC190428170738.sgy,27224,,,Micro
